tenting,(Multiple Items),,group,(Multiple Items),,remote,(Multiple Items),,structured_RV,(Multiple Items),,type of camping,median day 
2.172106825,,,2.409090909,,,,,,2.610315186,,,,
2.17630854,,,2.409704852,,,,,,2.612244898,,,,
2.178010471,,,2.413366701,,,,,,2.622641509,,,,
2.180451128,,,2.416536661,,,,,,2.636363636,,,,
2.180679062,,,2.416666667,,,,,,2.63836478,,,,
2.183544304,,,2.423076923,,,,,,2.652173913,,,,
2.185185185,,,2.428571429,,,,,,2.655853315,,,,
2.188418629,,,2.43485342,,,,,,2.672171759,,,,
2.190344828,,,2.4375,,,,,,2.678756477,,,,
2.19249845,,,2.440528634,,,,,,2.696969697,,,,
2.193154034,,,2.444444444,,,,,,2.728723404,,,,
2.194064818,,,2.444933921,,,,,,2.738095238,,,,
2.198324022,,,2.452830189,,,,,,2.744076295,,,,
2.199541284,,,2.454545455,,,,,,2.755102041,,,,
2.200598802,,,2.457912458,,,,,,2.75862069,,,,
2.203530061,,,2.458333333,,,,,,2.764705882,,,,
2.203883495,,,2.464285714,,,,,,2.769230769,,,,
2.206451613,,,2.466666667,,,,,,2.789473684,,,,
2.21461794,,,2.46875,,,,,,2.799856012,,,,
2.215602837,,,2.470588235,,,,,,2.805301645,,,,
2.217360115,,,2.475,,,,,,2.811748999,,,,
2.21884984,,,2.48,,,,,,2.823529412,,,,
2.219885277,,,2.488692232,,,,,,2.837037037,,,,
2.222222222,,,2.5,,,,,,2.845592705,,,,
2.222661397,,,2.509803922,,,,,,2.857142857,,,,
2.224242424,,,2.512727273,,,,,,2.875,,,,
2.22970639,,,2.52173913,,,,,,2.911111111,,,,
2.231023102,,,2.522493573,,,,,,2.923076923,,,,
2.23193393,,,2.523809524,,,,,,2.925925926,,,,
2.233333333,,,2.526315789,,,,,,2.929842574,,,,
2.233384853,,,2.528455285,,,,,,2.931271478,,,,
2.235294118,,,2.530757499,,,,,,2.931818182,,,,
2.235849057,,,2.535714286,,,,,,2.935483871,,,,
2.240837696,,,2.538293217,,,,,,2.956521739,,,,
2.244809689,,,2.547619048,,,,,,2.96969697,,,,
2.244897959,,,2.56,,,,,,2.976744186,,,,
2.245956607,,,2.568287037,,,,,,3,,,,
2.248730964,,,2.571428571,,,,,,3.006976744,,,,
2.25095057,,,2.577464789,,,,,,3.027027027,,,,
2.253056885,,,2.57885906,,,,,,3.09102091,,,,
2.253218884,,,2.610315186,,,,,,3.106928532,,,,
2.253953488,,,2.611111111,,,,,,3.158653846,,,,
2.255975328,,,2.620689655,,,,,,3.256410256,,,,
2.259006816,,,2.625,,,,,,3.275,,,,
2.259032796,,,2.626262626,,,,,,3.285714286,,,,
2.259332024,,,2.633333333,,,,,,3.287822878,,,,
2.260194175,,,2.651851852,,,,,,3.303030303,,,,
2.262434555,,,2.656140351,,,,,,3.386554622,,,,
2.263157895,,,2.662576687,,,,,,3.4,,,,
2.265556529,,,2.666666667,,,,,,3.480662983,,,,
2.268394649,,,2.685714286,,,,,,3.543993232,,,,
2.271604938,,,2.6875,,,,,,3.594594595,,,,
2.274725275,,,2.730471675,,,,,,3.681818182,,,,
2.275040859,,,2.733333333,,,,,,3.756756757,,,,
2.27765625,,,2.736842105,,,,,,3.892857143,,,,
2.278857143,,,2.75,,,,,,4.168546366,,,,
2.280821918,,,2.7582846,,,,,,4.243119266,,,,
