facilityid,median_orderdate_to_startdate,average_orderdate_to_startdate,min_orderdate_to_startdate,max_orderdate_to_startdate,average_nights,median_nights
232186.0,77.0,85.78947368421052,4,216,2.6945642795513374,2.0
232187.0,32.0,53.166040100250626,4,188,2.5789473684210527,2.0
232234.0,31.0,70.42015400066957,3,374,4.731168396384332,3.0
232235.0,33.0,61.80372450487733,3,195,3.831510493644694,3.0
232236.0,128.0,128.9820788530466,3,366,2.6881720430107525,2.0
232237.0,137.0,143.97744360902254,3,366,2.6240601503759398,3.0
232238.0,36.0,56.34489051094891,3,185,3.1521897810218977,3.0
232239.0,175.0,180.95180722891567,4,368,3.1566265060240966,3.0
232240.0,182.0,195.87777777777777,2,374,2.8,3.0
232241.0,52.0,76.91507364462551,3,227,3.3303039799435914,3.0
232242.0,64.0,85.23706176961603,2,236,3.189983305509182,2.0
232245.0,12.0,23.677824267782427,2,183,2.1715481171548117,2.0
232246.0,63.0,79.5503512880562,3,293,2.927400468384075,3.0
232247.0,25.0,44.82221139795421,3,265,3.1354115927910375,3.0
232248.0,78.0,96.16382252559727,3,366,2.5529010238907848,2.0
232249.0,25.0,37.70443193530485,0,236,2.012685324665028,2.0
232250.0,43.0,73.67998157578239,0,448,2.386217661659715,2.0
232254.0,72.0,87.44269548373943,0,313,3.2244061576103578,2.0
232260.0,123.0,108.70714285714286,3,281,2.2857142857142856,2.0
232261.0,25.0,43.87622950819672,3,184,2.2614754098360654,2.0
232262.0,61.0,76.4701950867052,3,259,2.6569725433526012,2.0
232263.0,119.0,103.7839978875099,3,194,3.0351201478743066,3.0
232264.0,115.5,121.46698113207547,5,363,2.5377358490566038,2.0
232265.0,25.0,44.96186440677966,3,183,2.5063559322033897,2.0
232266.0,100.0,116.13076923076923,4,366,2.580769230769231,2.0
232267.0,42.0,69.75360769641902,3,187,3.0587920897915555,3.0
232268.0,77.0,87.03889151314753,1,214,2.446386395843174,2.0
232269.0,38.0,65.96345919610232,0,249,2.648773273012006,2.0
232270.0,133.0,134.90420560747663,1,459,2.5946261682242993,2.0
232271.0,44.0,68.44940810507215,1,241,3.0552147239263805,3.0
232278.0,32.0,48.48452655889145,3,209,2.26905311778291,2.0
232279.0,55.0,74.77056962025317,3,265,2.2938291139240508,2.0
232286.0,29.0,51.25082435700154,0,218,2.097750421338023,2.0
232287.0,83.0,92.84948174853538,2,232,3.1678684091933302,2.0
232288.0,77.0,89.20570531274535,3,227,2.648259617901073,2.0
232290.0,88.0,99.53932584269663,4,294,3.2247191011235956,3.0
232293.0,153.0,158.47293447293447,0,486,2.698005698005698,2.0
232295.0,21.0,36.85774410774411,0,285,2.1843434343434343,2.0
232296.0,23.0,35.7765397082658,0,239,1.9272690437601296,2.0
232298.0,48.0,74.15885206143896,1,236,2.2056049582322825,2.0
232302.0,99.0,152.49295774647888,0,366,2.5492957746478875,2.0
232304.0,168.0,170.63299663299662,2,508,2.5286195286195285,2.0
232305.0,81.0,90.7330547818013,2,233,2.4614670380687094,2.0
232314.0,140.0,156.8904109589041,0,370,2.4794520547945207,2.0
232315.0,45.0,70.21601289629231,1,284,2.289091886082751,2.0
232316.0,18.0,30.977241379310346,2,182,2.056551724137931,2.0
232321.0,19.0,28.52037752037752,3,183,2.1595881595881594,2.0
232322.0,32.0,53.49304944571529,2,253,2.385887735351047,2.0
232342.0,89.0,98.12121212121212,4,337,2.139393939393939,2.0
232343.0,24.0,55.27051671732523,0,342,2.534954407294833,2.0
232348.0,175.0,136.2842105263158,3,343,2.375438596491228,2.0
232349.0,149.5,118.16304347826087,3,309,2.032608695652174,2.0
232351.0,30.0,45.361111111111114,1,242,2.0416666666666665,2.0
232356.0,69.0,84.03790351831701,3,239,2.6708378672470077,2.0
232361.0,121.5,134.69354838709677,6,432,3.379032258064516,3.0
232362.0,118.0,117.26732673267327,6,366,3.5544554455445545,3.0
232363.0,26.0,48.07727797001154,3,269,3.2422145328719725,3.0
232366.0,98.0,99.73374917925148,2,378,3.1057124097176625,3.0
232367.0,92.0,96.44817927170868,4,373,3.786064425770308,3.0
232371.0,20.0,42.94993045897079,3,184,2.9499304589707926,2.0
232372.0,140.5,148.78030303030303,3,366,2.492424242424242,2.0
232373.0,125.0,143.11926605504587,4,366,2.256880733944954,2.0
232374.0,175.5,173.0566037735849,3,366,2.707547169811321,3.0
232375.0,150.0,172.86153846153846,6,366,2.6,2.0
232376.0,138.0,133.0,15,202,2.3529411764705883,2.0
232377.0,170.0,174.44086021505376,4,366,2.3440860215053765,2.0
232386.0,17.0,23.07235453723244,0,207,1.9255351220982815,2.0
232395.0,39.0,60.89078984887368,3,192,3.2859994297120045,3.0
232396.0,60.0,82.35851621674111,3,258,3.3494853369586326,3.0
232398.0,37.0,68.51700680272108,1,184,2.901360544217687,3.0
232403.0,37.0,63.176598837209305,3,240,2.297238372093023,2.0
232407.0,156.0,146.78571428571428,4,364,2.2857142857142856,2.0
232422.0,137.0,137.98601398601397,1,366,2.5104895104895104,2.0
232446.0,105.0,80.24891169989789,0,259,2.0279464717579407,2.0
232447.0,128.0,92.17703275381066,0,272,2.1172302613161373,2.0
232448.0,111.0,77.14236789040746,0,193,2.2470953493582564,2.0
232449.0,125.0,81.4833215046132,0,204,2.116975288728305,2.0
232450.0,129.0,93.56926684497857,0,229,2.129117356098633,2.0
232451.0,103.0,81.09880160951714,0,263,2.0230055983205038,2.0
232452.0,61.0,70.47565633612145,0,185,2.016196876661993,2.0
232453.0,125.0,97.83121597096189,0,154,2.85480943738657,3.0
232455.0,65.0,98.12101910828025,1,344,3.5286624203821657,3.0
232460.0,109.0,99.35252680901915,2,329,2.499606905877543,2.0
232461.0,126.0,104.65134591369502,0,286,2.438046343832385,2.0
232464.0,121.0,105.58834110255371,0,246,2.3233431293068505,2.0
232465.0,125.0,106.55670422426144,2,241,2.3274867386843225,2.0
232466.0,89.0,92.61171203296486,0,236,2.003645152343595,2.0
232470.0,44.0,85.47894302229562,0,424,1.7745664739884393,1.0
232471.0,52.0,77.28571428571429,0,366,1.5888888888888888,1.0
232472.0,58.0,76.44530660631534,0,417,1.7121457053561806,2.0
232473.0,40.0,53.88617518468265,0,230,1.623096638022011,1.0
232491.0,91.0,77.55837173579108,0,180,1.6259600614439325,1.0
232496.0,140.0,141.03973509933775,80,183,1.6225165562913908,1.0
232497.0,52.0,68.660481444333,0,309,2.237963891675025,2.0
232498.0,67.0,85.57427688851446,0,522,1.7924740241505195,2.0
232499.0,51.0,68.26593886462882,0,253,1.460698689956332,1.0
232500.0,18.0,36.88826815642458,0,183,1.8715083798882681,2.0
232501.0,57.0,73.90111642743221,0,188,2.650717703349282,3.0
232502.0,32.0,47.180300500834726,0,196,1.4852531997774068,1.0
232509.0,145.0,131.77777777777777,3,343,2.32996632996633,2.0
232510.0,142.5,125.15811965811966,0,323,2.2293447293447293,2.0
232753.0,18.0,31.22313268200441,3,189,2.55688622754491,2.0
232754.0,113.0,127.57303370786516,5,377,3.5842696629213484,3.0
232755.0,24.0,42.189852310624104,1,221,2.186517389232968,2.0
232756.0,46.0,69.52727272727273,3,195,2.8545454545454545,3.0
232757.0,39.0,57.68688118811881,3,189,2.7066831683168315,3.0
232758.0,31.0,49.636617471080974,3,213,2.5600319106501797,2.0
232759.0,40.0,62.98858592263792,3,198,2.8142041851616995,3.0
232760.0,36.0,57.79415347137637,3,192,2.0876979293544458,2.0
232761.0,45.0,73.90169306389951,3,206,3.730202075368651,3.0
232762.0,37.0,55.92555092316855,3,195,3.254318046456224,3.0
232763.0,65.0,95.83720930232558,3,336,3.4767441860465116,3.0
232764.0,103.5,115.42857142857143,6,364,3.107142857142857,3.0
232765.0,99.0,104.8641975308642,4,333,3.691358024691358,3.0
232766.0,43.0,63.82266201008925,3,227,2.9126891734575087,3.0
232767.0,74.0,88.66283947891367,3,240,3.0900861117244425,3.0
232768.0,27.0,76.28539517072652,0,209,2.8192745452611425,2.0
232769.0,47.0,78.78667523044075,0,307,2.7563143367993472,2.0
232776.0,47.5,59.07142857142857,3,185,2.272727272727273,2.0
232777.0,166.0,178.68115942028984,3,377,3.8550724637681157,3.0
232778.0,56.0,76.27696078431373,1,217,3.4836601307189543,3.0
232779.0,164.0,173.4391143911439,4,377,3.125461254612546,3.0
232780.0,198.0,199.26388888888889,0,387,2.888888888888889,3.0
232781.0,59.0,81.13658408703631,1,260,2.9041814130292307,2.0
232782.0,31.0,49.41645976340003,1,227,2.5102234555279686,2.0
232783.0,159.0,167.544,0,366,2.424,3.0
232784.0,159.0,165.06024096385542,7,366,2.5421686746987953,2.0
232785.0,62.0,76.67843451903362,1,249,2.4231077828296335,2.0
