Index,FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName.1,ActivityName.2,ActivityName.3,ActivityName.4,ActivityName.5,ActivityName.6,ActivityName.7,ActivityName.8,ActivityName.9,ActivityName.10,ActivityName.11,ActivityName.12,ActivityName.13,ActivityName.14,ActivityName.15,ActivityName.16,ActivityName.17,ActivityName.18,ActivityName.19,ActivityName.20,ActivityName.21,ActivityName.22,ActivityName.23,ActivityName.24,ActivityName.25,ActivityName.26,ActivityName.27,ActivityName.28,ActivityName.29,ActivityName.30
28,10011396,131,1045,Wolf Ford Horse Camp,-82.742135,35.381282,11,CAMPING,FISHING,HIKING,PHOTOGRAPHY,BIRDING,BACKPACKING,HUNTING,MOUNTAIN BIKING,HORSEBACK RIDING,HORSE CAMPING,STAR GAZING,SCENIC DRIVE,,,,,,,,,,,,,,,,,,
29,10012078,130,149,Point Cedar,0,0,61,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,PICNICKING,PHOTOGRAPHY,WATER ACCESS,ACCESSIBLE SWIMMING,,,,,,,,,,,,,,,,,,,,,,
30,10012141,126,16341,Westwater Group Site (Ranger Station),-109.10397,39.08877,1,BOATING,CAMPING,RANGER STATION,RAFTING,WHITEWATER RAFTING,,,,,,,,,,,,,,,,,,,,,,,,,
31,10028678,128,2917,Saguaro National Park Wilderness Permits,-110.575129,32.193491,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10028875,128,2584,Big Bend Backcountry Camping,-103.205956,29.327815,105,BOATING,CAMPING,WILDLIFE VIEWING,HIKING,BIRDING,BACKPACKING,KAYAKING,CANOEING,VISITOR CENTER,INTERPRETIVE PROGRAMS,,,,,,,,,,,,,,,,,,,,
33,10029004,130,477,McHenry Avenue Recreation Area,0,0,7,FISHING,WILDLIFE VIEWING,BIKING,PICNICKING,DAY USE AREA,WATER ACCESS,KAYAKING,CANOEING,RAFTING,,,,,,,,,,,,,,,,,,,,,
34,10029012,130,477,Valley Oak Recreation Area,0,0,11,BOATING,CAMPING,FISHING,BIKING,PICNICKING,DAY USE AREA,BIRDING,WATER ACCESS,CANOEING,RAFTING,,,,,,,,,,,,,,,,,,,,
35,10032028,131,1092,Moqui Group Campground,-111.198674,34.596145,3,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PHOTOGRAPHY,BIRDING,BACKPACKING,MOUNTAIN BIKING,KAYAKING,CANOEING,STAR GAZING,AMPHITHEATER,,,,,,,,,,,,,,,,,,
36,10035048,130,570,Applegate Cove,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10035081,130,570,Cowlington Point,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10035281,130,570,Short Mountain Cove,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10038712,130,553,Card Creek ,0,0,19,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,PICNICKING,DAY USE AREA,BIRDING,WATER ACCESS,HUNTING,KAYAKING,CANOEING,STAR GAZING,SCENIC DRIVE,PADDLING,NON-MOTORIZED BOATING,MOTOR BOAT,,,,,,,,,,,,
40,10038733,127,1672,Doris Campground,0,0,93,CAMPING,WILDLIFE VIEWING,BIKING,HIKING,PICNICKING,ENVIRONMENTAL EDUCATION,PHOTOGRAPHY,BIRDING,BACKPACKING,HUNTING,KAYAKING,CANOEING,WILDERNESS,VISITOR CENTER,CLIMBING,ROCK CLIMBING,,,,,,,,,,,,,,
41,10038827,130,160,Ivans,0,0,21,CAMPING,BIKING,HIKING,PICNICKING,BIRDING,WATER ACCESS,,,,,,,,,,,,,,,,,,,,,,,,
42,10038964,130,553,Outlet Channel ,0,0,14,CAMPING,FISHING,BIKING,HIKING,PICNICKING,DAY USE AREA,BIRDING,BACKPACKING,MOUNTAIN BIKING,,,,,,,,,,,,,,,,,,,,,
43,10038980,130,560,Rattan Landing,0,0,13,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HUNTING,,,,,,,,,,,,,,,,,,,,,,,,
44,10038994,131,1011,Reynolds Creek Group Camp (ID) ,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10039071,130,556,Wildwood (OK),0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10039838,131,1077,Ahart Campground,0,0,12,CAMPING,FISHING,HIKING,PICNICKING,PHOTOGRAPHY,WATER ACCESS,MOUNTAIN BIKING,CANOEING,WILDERNESS,WATER ACTIVITIES,SCENIC DRIVE,,,,,,,,,,,,,,,,,,,
47,10039845,131,1064,GULL LAKE CAMPGROUND,0,0,11,BOATING,CAMPING,FISHING,BIKING,HIKING,CANOEING,,,,,,,,,,,,,,,,,,,,,,,,
48,10039857,131,1091,Anvil Lake Campground,0,0,18,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,KAYAKING,CANOEING,SWIMMING SITE,,,,,,,,,,,,,,,,,,,,,,
49,10039887,131,1077,Dark Day Campground,-121.108633,39.431283,10,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,PICNICKING,DAY USE AREA,WATER ACCESS,WATER SPORTS,SWIMMING,RANGER STATION,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,NON-MOTORIZED BOATING,MOTOR BOAT,,,,,,,,,,,,
50,10039993,131,1077,Garden Point Boat-in Campground,-121.124367,39.433317,16,BOATING,CAMPING,FISHING,WATER ACCESS,WATER SPORTS,SWIMMING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,MOTOR BOAT,,,,,,,,,,,,,,,,,,,
51,10040012,131,1077,Hornswoggle Group Campground,-121.120117,39.414933,6,BOATING,CAMPING,FISHING,BIKING,HIKING,PICNICKING,MOUNTAIN BIKING,WATER SPORTS,SWIMMING,RANGER STATION,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,,,,,,,,,,,,,,,,
52,10040020,131,1092,Long Valley Group Campground,0,0,1,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PHOTOGRAPHY,MOUNTAIN BIKING,KAYAKING,CANOEING,STAR GAZING,,,,,,,,,,,,,,,,,,,,,
53,10040022,131,1077,Madrone Cove Boat-in Campground,-121.1652,39.469833,10,BOATING,CAMPING,FISHING,WATER SPORTS,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,MOTOR BOAT,,,,,,,,,,,,,,,,,,,,
54,10040047,131,1077,Schoolhouse Campground (CA) ,-121.120383,39.418083,55,BOATING,CAMPING,FISHING,BIKING,HIKING,PICNICKING,MOUNTAIN BIKING,WATER SPORTS,SWIMMING,RANGER STATION,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,MOTOR BOAT,,,,,,,,,,,,,,
55,10040524,130,564,Brush Creek Public Use Area,0,0,17,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,PHOTOGRAPHY,BIRDING,MOUNTAIN BIKING,HISTORIC , CULTURAL SITE,KAYAKING,,,,,,,,,,,,,,,,,,
56,10040547,131,1089,Grout Pond Campground,0,0,17,CAMPING,FISHING,HIKING,PICNICKING,DAY USE AREA,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLE BOATING,,,,,,,,,,,,,,,,,,,,,
57,10040565,131,1018,Indian Meadows Guard Station,0,0,1,FISHING,HIKING,WINTER SPORTS,SNOWMOBILE,CROSS COUNTRY SKIING,SNOWMOBILE TRAILS,,,,,,,,,,,,,,,,,,,,,,,,
58,10040569,131,1055,Little Mattie Campground,0,0,19,BOATING,CAMPING,FISHING,CANOEING,PADDLING,PADDLE BOATING,SAILBOARDING,,,,,,,,,,,,,,,,,,,,,,,
59,10040589,131,1018,Nevada Creek Cabin,0,0,1,FISHING,HIKING,PICNICKING,HUNTING,HORSEBACK RIDING,BERRY PICKING,,,,,,,,,,,,,,,,,,,,,,,,
60,10040591,126,16540,Oh Be Joyful Campground,0,0,28,CAMPING,PICNICKING,PHOTOGRAPHY,BIRDING,BACKPACKING,HUNTING,MOUNTAIN BIKING,HORSEBACK RIDING,AUTO TOURING,OFF ROAD VEHICLE TRAILS,KAYAKING,STAR GAZING,MOUNTAIN CLIMBING,,,,,,,,,,,,,,,,,
61,10040622,131,1053,Ophir Creek Campground (CO),0,0,31,FISHING,BIKING,HIKING,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,10040993,126,10008688,Ken's Lake Campground,0,0,48,BOATING,CAMPING,FISHING,HIKING,PICNICKING,PHOTOGRAPHY,BIRDING,WATER ACCESS,HORSEBACK RIDING,AUTO TOURING,WATER SPORTS,SWIMMING,HORSE CAMPING,KAYAKING,CANOEING,WATER ACTIVITIES,RECREATIONAL VEHICLES,PADDLING,PADDLE BOATING,NON-MOTORIZED BOATING,OFF HIGHWAY VEHICLE TRAILS,MOTOR BOAT,,,,,,,,
63,10041284,130,578,Damsite Texas,0,0,19,CAMPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10041304,128,2739,Deep Creek Campground (NC),0,0,90,CAMPING,FISHING,BIKING,HIKING,DAY USE AREA,BIRDING,BACKPACKING,HORSEBACK RIDING,AMPHITHEATER,,,,,,,,,,,,,,,,,,,,,
65,10041410,126,10012144,Painted Rock Petroglyph Campground,0,0,64,CAMPING,WILDLIFE VIEWING,HIKING,DAY USE AREA,PHOTOGRAPHY,HISTORIC , CULTURAL SITE,,,,,,,,,,,,,,,,,,,,,,,
66,10041495,130,559,Sunset Bay,0,0,14,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,PICNICKING,PHOTOGRAPHY,BIRDING,WATER ACCESS,MOUNTAIN BIKING,WATER SPORTS,KAYAKING,CANOEING,STAR GAZING,WILDERNESS,WATER ACTIVITIES,JET SKIING,MOTOR BOAT,CRAWFISHING,,,,,,,,,,
67,10041510,130,564,Walnut Creek ,0,0,33,BOATING,CAMPING,WILDLIFE VIEWING,BIKING,HIKING,PICNICKING,DAY USE AREA,PHOTOGRAPHY,BIRDING,WATER ACCESS,BACKPACKING,MOUNTAIN BIKING,HORSEBACK RIDING,WATER SPORTS,SWIMMING,KAYAKING,STAR GAZING,WILDERNESS,WATER ACTIVITIES,SCENIC DRIVE,TUBING,JET SKIING,WATER SKIING,MOTOR BOAT,SAILING,,,,,
68,10046288,130,154,Pat's Bluff,0,0,16,BOATING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10046915,131,1045,Mortimer Campground,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,10046989,131,1035,Bear River Campground,0,0,4,FISHING,HIKING,BACKPACKING,MOUNTAIN BIKING,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10046994,131,1035,Beaver View Campground,0,0,17,FISHING,HIKING,BACKPACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,10047013,131,1035,Botts Campground,0,0,7,FISHING,HIKING,SWIMMING,TUBING,,,,,,,,,,,,,,,,,,,,,,,,,,
73,10047031,131,1035,Butterfly Campground,0,0,20,FISHING,WILDLIFE VIEWING,HIKING,BACKPACKING,MOUNTAIN BIKING,HORSEBACK RIDING,KAYAKING,CANOEING,NON-MOTORIZED BOATING,,,,,,,,,,,,,,,,,,,,,
74,10047057,131,1035,China Meadows Trailhead Campground,0,0,12,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
75,10047070,131,1035,China Meadows Campground,0,0,9,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
76,10047085,128,2977,Brandy Creek RV Campground ,0,0,16,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,BIRDING,HUNTING,MOUNTAIN BIKING,HORSEBACK RIDING,SWIMMING,KAYAKING,CANOEING,STAR GAZING,WATER SKIING,INTERPRETIVE PROGRAMS,SAILING,SNORKELING,WINDSURFING,GOLD PANNING,SCUBA DIVING,,,,,,,,,
77,10047120,131,1083,Lake Ottawa Campground,0,0,31,BOATING,CAMPING,FISHING,BIKING,HIKING,DAY USE AREA,MOUNTAIN BIKING,SWIMMING,KAYAKING,CANOEING,,,,,,,,,,,,,,,,,,,,
78,10047884,131,1035,Deadhorse Trailhead Campground,0,0,4,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,OFF ROAD VEHICLE TRAILS,,,,,,,,,,,,,,,,,,,,,,,,,,
79,10047895,131,1035,Hayden Fork Campground,0,0,9,FISHING,HIKING,BACKPACKING,OFF HIGHWAY VEHICLE TRAILS,,,,,,,,,,,,,,,,,,,,,,,,,,
80,10047905,131,1035,Hoop Lake Trailhead Campground,0,0,7,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,BACKPACKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,
81,10047913,131,1035,Hoop Lake Campground,0,0,44,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,BACKPACKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,
82,10047958,131,1035,LM Turner Campground,0,0,10,FISHING,HIKING,MOUNTAIN BIKING,MOUNTAIN CLIMBING,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10047969,131,1035,Lilly Lake Campground,0,0,14,CAMPING,FISHING,HIKING,CANOEING,,,,,,,,,,,,,,,,,,,,,,,,,,
84,10047984,131,1035,Little Lyman Lake Campground,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
