FacilityID,CampsiteType,CampsiteID
232134,MANAGEMENT,13
232134,STANDARD NONELECTRIC,4
232136,GROUP STANDARD NONELECTRIC,1
232136,STANDARD NONELECTRIC,70
232136,TENT ONLY NONELECTRIC,52
232137,MANAGEMENT,27
232137,STANDARD NONELECTRIC,17
232138,MANAGEMENT,22
232138,STANDARD NONELECTRIC,67
232139,STANDARD NONELECTRIC,36
232140,MANAGEMENT,14
232140,STANDARD NONELECTRIC,14
232140,TENT ONLY NONELECTRIC,6
232141,STANDARD NONELECTRIC,24
232142,GROUP STANDARD NONELECTRIC,1
232143,GROUP STANDARD NONELECTRIC,3
232144,GROUP STANDARD NONELECTRIC,2
232144,STANDARD NONELECTRIC,12
232144,TENT ONLY NONELECTRIC,3
232145,STANDARD ELECTRIC,7
232145,STANDARD NONELECTRIC,5
232146,GROUP STANDARD NONELECTRIC,3
232146,MANAGEMENT,44
232146,RV NONELECTRIC,4
232146,STANDARD ELECTRIC,13
232146,STANDARD NONELECTRIC,23
232146,TENT ONLY NONELECTRIC,8
232147,MANAGEMENT,23
232147,STANDARD NONELECTRIC,24
232149,MANAGEMENT,19
232149,STANDARD NONELECTRIC,29
232150,MANAGEMENT,17
232150,STANDARD ELECTRIC,30
232151,MANAGEMENT,27
232151,STANDARD NONELECTRIC,29
232152,MANAGEMENT,9
232152,STANDARD NONELECTRIC,14
232153,MANAGEMENT,20
232153,RV NONELECTRIC,6
232153,STANDARD NONELECTRIC,10
232153,TENT ONLY NONELECTRIC,9
232154,MANAGEMENT,21
232154,RV NONELECTRIC,5
232154,STANDARD ELECTRIC,9
232154,STANDARD NONELECTRIC,28
232154,TENT ONLY NONELECTRIC,3
232155,MANAGEMENT,10
232155,STANDARD NONELECTRIC,11
232155,TENT ONLY NONELECTRIC,2
232156,MANAGEMENT,11
232156,RV ELECTRIC,9
232156,STANDARD ELECTRIC,9
232157,MANAGEMENT,8
232157,RV ELECTRIC,1
232157,RV NONELECTRIC,3
232157,STANDARD NONELECTRIC,11
232158,GROUP STANDARD NONELECTRIC,1
232158,MANAGEMENT,1
232158,RV NONELECTRIC,3
232158,STANDARD NONELECTRIC,32
232159,GROUP STANDARD NONELECTRIC,1
232159,MANAGEMENT,2
232159,RV NONELECTRIC,2
232159,STANDARD NONELECTRIC,65
232159,TENT ONLY NONELECTRIC,6
232160,MANAGEMENT,1
232160,STANDARD NONELECTRIC,25
232161,GROUP TENT ONLY AREA NONELECTRIC,2
232161,MANAGEMENT,21
232161,STANDARD NONELECTRIC,33
232161,TENT ONLY NONELECTRIC,2
232162,STANDARD ELECTRIC,11
232162,STANDARD NONELECTRIC,24
232165,MANAGEMENT,7
232167,GROUP TENT ONLY AREA NONELECTRIC,6
232168,STANDARD NONELECTRIC,75
232169,STANDARD NONELECTRIC,14
232170,GROUP STANDARD NONELECTRIC,2
232170,STANDARD NONELECTRIC,24
232171,MANAGEMENT,21
232171,STANDARD NONELECTRIC,21
232171,TENT ONLY NONELECTRIC,8
232172,MANAGEMENT,12
232172,STANDARD NONELECTRIC,7
232172,TENT ONLY NONELECTRIC,6
232173,MANAGEMENT,76
232173,STANDARD NONELECTRIC,93
232173,TENT ONLY NONELECTRIC,26
232174,MANAGEMENT,9
232174,STANDARD NONELECTRIC,8
232174,TENT ONLY NONELECTRIC,5
232175,MANAGEMENT,7
232175,STANDARD NONELECTRIC,8
232176,MANAGEMENT,11
232176,STANDARD NONELECTRIC,14
232177,MANAGEMENT,13
232177,STANDARD NONELECTRIC,4
232177,TENT ONLY NONELECTRIC,13
232178,MANAGEMENT,36
232178,STANDARD NONELECTRIC,40
232178,TENT ONLY NONELECTRIC,15
232179,MANAGEMENT,3
232179,STANDARD NONELECTRIC,19
232179,TENT ONLY NONELECTRIC,6
232180,MANAGEMENT,52
232180,SHELTER ELECTRIC,1
232180,STANDARD ELECTRIC,43
232180,STANDARD NONELECTRIC,38
232181,RV NONELECTRIC,3
232181,STANDARD NONELECTRIC,18
232182,RV NONELECTRIC,10
232182,STANDARD NONELECTRIC,58
232183,MANAGEMENT,2
232183,RV NONELECTRIC,3
232183,STANDARD NONELECTRIC,65
232184,EQUESTRIAN NONELECTRIC,12
232184,MANAGEMENT,1
232185,STANDARD NONELECTRIC,19
232185,TENT ONLY NONELECTRIC,2
232186,STANDARD NONELECTRIC,18
232186,TENT ONLY NONELECTRIC,7
232187,STANDARD NONELECTRIC,22
232188,GROUP STANDARD ELECTRIC,1
232188,MANAGEMENT,8
232188,RV ELECTRIC,2
232188,RV NONELECTRIC,5
232188,STANDARD ELECTRIC,17
232188,STANDARD NONELECTRIC,6
232189,MANAGEMENT,19
232189,STANDARD NONELECTRIC,8
232190,MANAGEMENT,4
232190,STANDARD NONELECTRIC,132
232191,GROUP STANDARD NONELECTRIC,10
232192,MANAGEMENT,1
232192,WALK TO,12
232193,GROUP STANDARD ELECTRIC,3
232193,GROUP STANDARD NONELECTRIC,4
232193,MANAGEMENT,3
232193,STANDARD ELECTRIC,29
232193,STANDARD NONELECTRIC,66
232194,MANAGEMENT,74
232194,STANDARD NONELECTRIC,20
232194,TENT ONLY NONELECTRIC,1
232195,TENT ONLY NONELECTRIC,18
232196,MANAGEMENT,3
232196,STANDARD NONELECTRIC,21
232197,MANAGEMENT,1
232197,STANDARD NONELECTRIC,90
232199,MANAGEMENT,2
232199,STANDARD NONELECTRIC,54
232200,GROUP STANDARD NONELECTRIC,4
232200,MANAGEMENT,45
232200,STANDARD NONELECTRIC,117
232201,MANAGEMENT,13
232201,STANDARD NONELECTRIC,24
232202,MANAGEMENT,1
232202,RV NONELECTRIC,1
232202,STANDARD NONELECTRIC,75
232203,GROUP STANDARD NONELECTRIC,1
232203,MANAGEMENT,4
232203,STANDARD NONELECTRIC,23
232204,GROUP STANDARD AREA NONELECTRIC,2
232204,MANAGEMENT,1
232204,STANDARD NONELECTRIC,61
232205,GROUP STANDARD NONELECTRIC,1
232206,GROUP STANDARD NONELECTRIC,1
232208,GROUP STANDARD NONELECTRIC,1
232209,GROUP STANDARD NONELECTRIC,1
232210,GROUP STANDARD NONELECTRIC,3
232210,RV NONELECTRIC,1
232210,STANDARD NONELECTRIC,15
232211,GROUP STANDARD NONELECTRIC,3
232212,GROUP STANDARD NONELECTRIC,1
232212,RV NONELECTRIC,1
232212,STANDARD NONELECTRIC,22
232213,RV NONELECTRIC,31
232213,STANDARD NONELECTRIC,49
232214,GROUP STANDARD NONELECTRIC,1
232215,MANAGEMENT,1
232215,STANDARD ELECTRIC,86
232216,GROUP STANDARD NONELECTRIC,1
232217,GROUP STANDARD NONELECTRIC,2
232217,STANDARD NONELECTRIC,11
232218,WALK TO,7
232219,GROUP STANDARD NONELECTRIC,1
232219,MANAGEMENT,1
232219,STANDARD ELECTRIC,18
232219,STANDARD NONELECTRIC,30
232220,MANAGEMENT,3
232220,RV ELECTRIC,14
232220,STANDARD NONELECTRIC,51
232220,TENT ONLY NONELECTRIC,19
232221,MANAGEMENT,38
232221,STANDARD NONELECTRIC,76
232222,GROUP STANDARD NONELECTRIC,1
232222,MANAGEMENT,23
232222,STANDARD NONELECTRIC,34
232223,GROUP STANDARD NONELECTRIC,1
232223,MANAGEMENT,1
232223,STANDARD ELECTRIC,1
232223,STANDARD NONELECTRIC,12
232223,TENT ONLY NONELECTRIC,10
232224,GROUP SHELTER NONELECTRIC,1
232224,GROUP STANDARD AREA NONELECTRIC,1
232225,GROUP STANDARD NONELECTRIC,2
232225,MANAGEMENT,14
232225,STANDARD NONELECTRIC,8
232225,TENT ONLY NONELECTRIC,15
232226,GROUP STANDARD NONELECTRIC,2
232226,GROUP TENT ONLY AREA NONELECTRIC,1
232226,MANAGEMENT,5
232227,EQUESTRIAN NONELECTRIC,15
232227,GROUP EQUESTRIAN,2
232227,GROUP RV AREA NONELECTRIC,1
232227,GROUP STANDARD NONELECTRIC,20
232227,MANAGEMENT,9
232228,GROUP STANDARD NONELECTRIC,3
232228,MANAGEMENT,56
232228,RV NONELECTRIC,1
232228,STANDARD NONELECTRIC,79
232228,YURT,3
232229,GROUP TENT ONLY AREA NONELECTRIC,4
232229,STANDARD NONELECTRIC,14
232230,GROUP STANDARD NONELECTRIC,3
232230,MANAGEMENT,3
232230,RV NONELECTRIC,9
232230,STANDARD NONELECTRIC,36
232230,TENT ONLY NONELECTRIC,4
232231,MANAGEMENT,14
232231,STANDARD NONELECTRIC,21
232231,YURT,2
232232,GROUP STANDARD NONELECTRIC,3
232232,MANAGEMENT,4
232232,RV NONELECTRIC,2
232232,STANDARD NONELECTRIC,8
232233,EQUESTRIAN NONELECTRIC,3
232233,GROUP STANDARD NONELECTRIC,2
232233,STANDARD NONELECTRIC,19
232233,YURT,3
232234,MANAGEMENT,23
232234,STANDARD NONELECTRIC,84
232235,MANAGEMENT,25
232235,STANDARD NONELECTRIC,60
232236,GROUP STANDARD NONELECTRIC,1
232236,GROUP TENT ONLY AREA NONELECTRIC,1
232237,GROUP TENT ONLY AREA NONELECTRIC,1
232238,STANDARD NONELECTRIC,28
232239,GROUP WALK TO,1
232240,GROUP TENT ONLY AREA NONELECTRIC,1
232241,STANDARD NONELECTRIC,34
232242,MANAGEMENT,3
232242,STANDARD NONELECTRIC,18
232244,EQUESTRIAN NONELECTRIC,7
232244,GROUP STANDARD NONELECTRIC,2
232244,MANAGEMENT,1
232244,STANDARD NONELECTRIC,48
232244,TENT ONLY NONELECTRIC,5
232245,STANDARD NONELECTRIC,15
232245,WALK TO,4
232246,GROUP STANDARD NONELECTRIC,2
232246,MANAGEMENT,34
232246,STANDARD NONELECTRIC,17
232246,TENT ONLY NONELECTRIC,2
232247,GROUP STANDARD NONELECTRIC,2
232247,MANAGEMENT,3
232247,STANDARD ELECTRIC,2
232247,STANDARD NONELECTRIC,44
232248,GROUP STANDARD NONELECTRIC,3
232248,STANDARD NONELECTRIC,9
232249,STANDARD NONELECTRIC,37
232249,TENT ONLY NONELECTRIC,30
232250,MANAGEMENT,1
232250,RV ELECTRIC,28
232250,STANDARD NONELECTRIC,82
232251,STANDARD NONELECTRIC,53
232252,GROUP TENT ONLY AREA NONELECTRIC,1
232252,STANDARD NONELECTRIC,43
232253,MANAGEMENT,9
232253,STANDARD NONELECTRIC,41
232254,STANDARD NONELECTRIC,195
232255,STANDARD ELECTRIC,20
232256,STANDARD ELECTRIC,27
232257,GROUP TENT ONLY AREA NONELECTRIC,3
232258,MANAGEMENT,45
232258,STANDARD ELECTRIC,12
232258,TENT ONLY NONELECTRIC,4
232259,MANAGEMENT,67
232259,STANDARD ELECTRIC,71
232260,STANDARD NONELECTRIC,61
232260,TENT ONLY NONELECTRIC,11
232261,STANDARD NONELECTRIC,26
232262,MANAGEMENT,21
232262,STANDARD NONELECTRIC,22
232262,TENT ONLY NONELECTRIC,9
232262,WALK TO,1
232263,MANAGEMENT,18
232263,STANDARD NONELECTRIC,31
232263,TENT ONLY NONELECTRIC,6
232263,WALK TO,4
232264,GROUP STANDARD NONELECTRIC,1
232264,GROUP TENT ONLY AREA NONELECTRIC,1
232265,STANDARD ELECTRIC,8
232265,STANDARD NONELECTRIC,12
232266,GROUP STANDARD NONELECTRIC,3
232267,STANDARD NONELECTRIC,59
232268,MANAGEMENT,2
232268,STANDARD NONELECTRIC,20
232268,TENT ONLY NONELECTRIC,6
232269,STANDARD NONELECTRIC,134
232269,TENT ONLY NONELECTRIC,5
232270,GROUP STANDARD NONELECTRIC,9
232270,STANDARD NONELECTRIC,9
232271,STANDARD NONELECTRIC,70
232271,WALK TO,15
232272,STANDARD NONELECTRIC,42
232273,MANAGEMENT,1
232273,STANDARD NONELECTRIC,105
232274,STANDARD NONELECTRIC,20
232275,RV NONELECTRIC,1
232275,STANDARD NONELECTRIC,16
232275,TENT ONLY NONELECTRIC,18
232276,STANDARD NONELECTRIC,34
232276,TENT ONLY NONELECTRIC,1
232277,MANAGEMENT,1
232277,STANDARD NONELECTRIC,40
232278,MANAGEMENT,68
232278,STANDARD NONELECTRIC,48
232278,TENT ONLY NONELECTRIC,8
232279,MANAGEMENT,17
232279,RV NONELECTRIC,9
232279,STANDARD NONELECTRIC,66
232279,TENT ONLY NONELECTRIC,19
232280,MANAGEMENT,21
232280,STANDARD NONELECTRIC,25
232281,RV NONELECTRIC,1
232281,STANDARD NONELECTRIC,50
232281,TENT ONLY NONELECTRIC,2
232282,STANDARD NONELECTRIC,36
232282,TENT ONLY NONELECTRIC,8
232283,GROUP STANDARD ELECTRIC,2
232283,MANAGEMENT,4
232283,STANDARD ELECTRIC,50
232283,TENT ONLY ELECTRIC,1
232283,TENT ONLY NONELECTRIC,9
232284,MANAGEMENT,44
232284,RV NONELECTRIC,6
232284,TENT ONLY NONELECTRIC,24
232285,GROUP TENT ONLY AREA NONELECTRIC,3
232286,STANDARD NONELECTRIC,47
232287,MANAGEMENT,1
232287,STANDARD NONELECTRIC,41
232287,TENT ONLY NONELECTRIC,2
232288,MANAGEMENT,4
232288,STANDARD NONELECTRIC,23
232288,TENT ONLY NONELECTRIC,8
232289,EQUESTRIAN NONELECTRIC,15
232290,GROUP STANDARD NONELECTRIC,2
232290,MANAGEMENT,52
232291,CABIN NONELECTRIC,1
232292,CABIN NONELECTRIC,1
232293,GROUP STANDARD NONELECTRIC,3
232294,MANAGEMENT,2
232294,STANDARD NONELECTRIC,37
232295,RV NONELECTRIC,3
232295,STANDARD NONELECTRIC,63
232296,STANDARD NONELECTRIC,2
232296,TENT ONLY NONELECTRIC,20
232298,MANAGEMENT,1
232298,STANDARD NONELECTRIC,49
232300,MANAGEMENT,22
232300,STANDARD NONELECTRIC,87
232300,TENT ONLY NONELECTRIC,2
232301,MANAGEMENT,1
232301,STANDARD NONELECTRIC,25
232301,TENT ONLY NONELECTRIC,8
232302,GROUP TENT ONLY AREA NONELECTRIC,1
232303,EQUESTRIAN ELECTRIC,28
232303,EQUESTRIAN NONELECTRIC,6
232303,GROUP STANDARD AREA NONELECTRIC,2
232303,MANAGEMENT,46
232303,STANDARD ELECTRIC,6
232303,STANDARD NONELECTRIC,9
232304,GROUP STANDARD NONELECTRIC,3
232305,STANDARD NONELECTRIC,26
232305,TENT ONLY NONELECTRIC,4
232306,MANAGEMENT,1
232306,RV NONELECTRIC,1
232306,STANDARD NONELECTRIC,9
232306,TENT ONLY NONELECTRIC,7
232307,GROUP STANDARD NONELECTRIC,2
232308,GROUP STANDARD NONELECTRIC,8
232308,GROUP TENT ONLY AREA NONELECTRIC,4
232308,MANAGEMENT,3
232309,CABIN NONELECTRIC,1
232310,STANDARD NONELECTRIC,10
232311,STANDARD NONELECTRIC,18
232311,TENT ONLY NONELECTRIC,4
232312,STANDARD NONELECTRIC,26
232313,STANDARD NONELECTRIC,15
232314,GROUP STANDARD NONELECTRIC,1
232315,STANDARD NONELECTRIC,18
232315,TENT ONLY NONELECTRIC,7
232316,STANDARD NONELECTRIC,12
232317,GROUP TENT ONLY AREA NONELECTRIC,1
232317,STANDARD NONELECTRIC,41
232318,GROUP STANDARD ELECTRIC,1
232318,STANDARD ELECTRIC,11
232318,STANDARD NONELECTRIC,27
232319,GROUP STANDARD NONELECTRIC,1
232319,STANDARD ELECTRIC,8
232319,STANDARD NONELECTRIC,31
232319,WALK TO,3
232320,MANAGEMENT,40
232320,STANDARD NONELECTRIC,19
232321,MANAGEMENT,1
232321,STANDARD NONELECTRIC,35
232321,TENT ONLY NONELECTRIC,8
232322,MANAGEMENT,1
232322,STANDARD NONELECTRIC,38
232323,EQUESTRIAN NONELECTRIC,9
232324,MANAGEMENT,33
232324,RV NONELECTRIC,6
232324,STANDARD NONELECTRIC,13
232325,GROUP STANDARD NONELECTRIC,4
232325,MANAGEMENT,15
232325,STANDARD NONELECTRIC,28
232325,WALK TO,9
232326,GROUP STANDARD NONELECTRIC,1
232326,STANDARD NONELECTRIC,69
232327,RV NONELECTRIC,2
232327,STANDARD NONELECTRIC,6
232327,TENT ONLY NONELECTRIC,1
232328,MANAGEMENT,1
232328,RV NONELECTRIC,5
232328,STANDARD NONELECTRIC,17
232328,TENT ONLY NONELECTRIC,1
232329,MANAGEMENT,3
232329,STANDARD ELECTRIC,17
232329,STANDARD NONELECTRIC,16
232330,RV NONELECTRIC,1
232330,STANDARD NONELECTRIC,17
232331,GROUP STANDARD NONELECTRIC,1
232331,MANAGEMENT,19
232332,GROUP STANDARD NONELECTRIC,1
232332,STANDARD NONELECTRIC,20
232333,STANDARD NONELECTRIC,52
232334,MANAGEMENT,9
232334,STANDARD NONELECTRIC,10
232335,GROUP STANDARD NONELECTRIC,2
232336,MANAGEMENT,73
232336,STANDARD NONELECTRIC,111
232336,TENT ONLY NONELECTRIC,1
232337,GROUP SHELTER NONELECTRIC,1
232337,RV NONELECTRIC,72
232337,TENT ONLY NONELECTRIC,19
232338,STANDARD NONELECTRIC,35
232339,MANAGEMENT,1
232339,RV NONELECTRIC,1
232339,STANDARD NONELECTRIC,60
232339,TENT ONLY NONELECTRIC,2
232340,STANDARD ELECTRIC,2
232340,STANDARD NONELECTRIC,79
232341,STANDARD NONELECTRIC,13
232341,TENT ONLY NONELECTRIC,5
232342,GROUP STANDARD NONELECTRIC,1
232343,GROUP STANDARD NONELECTRIC,2
232343,MANAGEMENT,1
232343,STANDARD NONELECTRIC,17
232344,RV NONELECTRIC,7
232345,GROUP STANDARD NONELECTRIC,1
232346,MANAGEMENT,1
232346,STANDARD NONELECTRIC,20
232347,STANDARD NONELECTRIC,15
232348,CABIN ELECTRIC,1
232349,CABIN NONELECTRIC,1
232350,MANAGEMENT,3
232350,STANDARD NONELECTRIC,35
232351,GROUP STANDARD NONELECTRIC,1
232352,MANAGEMENT,4
232352,STANDARD NONELECTRIC,13
232353,MANAGEMENT,9
232353,RV NONELECTRIC,1
232353,STANDARD NONELECTRIC,19
232354,GROUP RV AREA NONELECTRIC,1
232354,SHELTER NONELECTRIC,1
232354,STANDARD NONELECTRIC,29
232355,EQUESTRIAN NONELECTRIC,29
232355,GROUP STANDARD ELECTRIC,1
232355,GROUP STANDARD NONELECTRIC,1
232355,STANDARD NONELECTRIC,29
232355,TENT ONLY NONELECTRIC,17
232356,MANAGEMENT,1
232356,STANDARD NONELECTRIC,56
232356,TENT ONLY NONELECTRIC,1
232357,STANDARD NONELECTRIC,28
232358,MANAGEMENT,3
232358,STANDARD NONELECTRIC,18
232359,GROUP STANDARD NONELECTRIC,1
232360,STANDARD NONELECTRIC,10
232360,TENT ONLY NONELECTRIC,2
232361,GROUP STANDARD NONELECTRIC,2
232362,GROUP STANDARD NONELECTRIC,1
232363,STANDARD ELECTRIC,10
232363,STANDARD NONELECTRIC,2
232364,STANDARD ELECTRIC,23
232364,STANDARD NONELECTRIC,1
232364,TENT ONLY NONELECTRIC,3
232365,MANAGEMENT,29
232365,RV NONELECTRIC,1
232365,STANDARD NONELECTRIC,24
232365,TENT ONLY NONELECTRIC,4
232366,GROUP STANDARD NONELECTRIC,2
232366,GROUP TENT ONLY AREA NONELECTRIC,1
232366,STANDARD NONELECTRIC,40
232366,TENT ONLY NONELECTRIC,1
232367,GROUP STANDARD NONELECTRIC,1
232367,MANAGEMENT,6
232367,STANDARD NONELECTRIC,21
232368,STANDARD NONELECTRIC,11
232368,WALK TO,5
232369,MANAGEMENT,22
232369,STANDARD NONELECTRIC,20
232370,CABIN ELECTRIC,12
232370,MANAGEMENT,4
232370,STANDARD ELECTRIC,25
232370,STANDARD NONELECTRIC,132
232371,STANDARD NONELECTRIC,20
232372,GROUP STANDARD NONELECTRIC,1
232373,GROUP STANDARD NONELECTRIC,1
232374,GROUP STANDARD NONELECTRIC,1
232375,GROUP STANDARD NONELECTRIC,2
232377,GROUP STANDARD NONELECTRIC,1
232378,GROUP STANDARD NONELECTRIC,1
232379,GROUP STANDARD NONELECTRIC,1
232380,GROUP TENT ONLY AREA NONELECTRIC,1
232380,MANAGEMENT,1
232380,RV ELECTRIC,1
232380,STANDARD NONELECTRIC,23
232381,STANDARD NONELECTRIC,41
232381,TENT ONLY NONELECTRIC,3
232381,WALK TO,2
232382,GROUP STANDARD NONELECTRIC,2
232383,GROUP STANDARD NONELECTRIC,1
232384,MANAGEMENT,8
232384,STANDARD NONELECTRIC,72
232385,MANAGEMENT,15
232385,STANDARD NONELECTRIC,9
232385,TENT ONLY NONELECTRIC,4
232386,STANDARD NONELECTRIC,27
232387,MANAGEMENT,18
232387,STANDARD NONELECTRIC,46
232387,TENT ONLY NONELECTRIC,3
232388,EQUESTRIAN NONELECTRIC,9
232388,MANAGEMENT,1
232389,STANDARD ELECTRIC,18
232389,TENT ONLY NONELECTRIC,3
232390,MANAGEMENT,1
232390,STANDARD ELECTRIC,3
232390,STANDARD NONELECTRIC,42
232390,TENT ONLY NONELECTRIC,3
232390,YURT,5
232391,GROUP STANDARD NONELECTRIC,3
232391,MANAGEMENT,22
232391,STANDARD ELECTRIC,4
232391,STANDARD NONELECTRIC,14
232392,GROUP STANDARD NONELECTRIC,1
232392,MANAGEMENT,27
232392,STANDARD ELECTRIC,9
232392,STANDARD NONELECTRIC,26
232392,TENT ONLY NONELECTRIC,12
232393,STANDARD NONELECTRIC,26
232393,WALK TO,2
232394,GROUP STANDARD NONELECTRIC,7
232394,GROUP TENT ONLY AREA NONELECTRIC,4
232395,MANAGEMENT,34
232395,RV NONELECTRIC,1
232395,STANDARD NONELECTRIC,38
232395,TENT ONLY NONELECTRIC,12
232396,MANAGEMENT,63
232396,STANDARD NONELECTRIC,46
232396,TENT ONLY NONELECTRIC,25
232397,GROUP WALK TO,1
232397,MANAGEMENT,5
232398,EQUESTRIAN NONELECTRIC,4
232398,MANAGEMENT,10
232399,MANAGEMENT,12
232399,STANDARD NONELECTRIC,7
232399,TENT ONLY NONELECTRIC,3
232400,CABIN NONELECTRIC,1
232401,CABIN NONELECTRIC,2
232402,CABIN NONELECTRIC,1
232403,MANAGEMENT,1
232403,STANDARD NONELECTRIC,15
232404,CABIN ELECTRIC,1
232404,GROUP TENT ONLY AREA NONELECTRIC,1
232404,MANAGEMENT,11
232404,STANDARD NONELECTRIC,19
232405,GROUP STANDARD AREA NONELECTRIC,2
232405,MANAGEMENT,7
232405,STANDARD NONELECTRIC,21
232406,GROUP TENT ONLY AREA NONELECTRIC,2
232406,STANDARD NONELECTRIC,10
232407,GROUP STANDARD NONELECTRIC,1
232408,GROUP STANDARD NONELECTRIC,1
232408,MANAGEMENT,3
232408,STANDARD NONELECTRIC,6
232409,MANAGEMENT,9
232409,STANDARD NONELECTRIC,8
232410,GROUP STANDARD NONELECTRIC,2
232410,MANAGEMENT,11
232410,STANDARD NONELECTRIC,14
232411,GROUP STANDARD NONELECTRIC,2
232411,MANAGEMENT,6
232411,STANDARD NONELECTRIC,4
232412,GROUP STANDARD NONELECTRIC,1
232412,MANAGEMENT,5
232412,STANDARD NONELECTRIC,2
232413,GROUP STANDARD NONELECTRIC,1
232413,MANAGEMENT,1
232413,STANDARD NONELECTRIC,10
232413,WALK TO,4
232414,GROUP STANDARD NONELECTRIC,1
232414,MANAGEMENT,8
232414,STANDARD NONELECTRIC,17
232415,GROUP STANDARD NONELECTRIC,7
232416,GROUP STANDARD NONELECTRIC,1
232416,MANAGEMENT,10
232417,MANAGEMENT,5
232417,STANDARD NONELECTRIC,7
232419,GROUP STANDARD NONELECTRIC,1
232419,STANDARD ELECTRIC,14
232419,STANDARD NONELECTRIC,18
232422,GROUP TENT ONLY AREA NONELECTRIC,1
232423,STANDARD ELECTRIC,52
232423,TENT ONLY NONELECTRIC,8
232424,CABIN NONELECTRIC,1
232425,GROUP TENT ONLY AREA NONELECTRIC,1
232425,MANAGEMENT,18
232427,STANDARD NONELECTRIC,7
232428,STANDARD NONELECTRIC,18
232428,TENT ONLY NONELECTRIC,15
232429,STANDARD NONELECTRIC,33
232429,TENT ONLY NONELECTRIC,4
232430,GROUP TENT ONLY AREA NONELECTRIC,9
232430,RV ELECTRIC,5
232430,STANDARD ELECTRIC,16
232430,STANDARD NONELECTRIC,11
232430,TENT ONLY NONELECTRIC,1
232431,EQUESTRIAN NONELECTRIC,4
232431,GROUP STANDARD NONELECTRIC,2
232431,STANDARD NONELECTRIC,32
232432,GROUP STANDARD NONELECTRIC,3
232432,MANAGEMENT,2
232432,STANDARD NONELECTRIC,161
232433,MANAGEMENT,2
232433,STANDARD NONELECTRIC,155
232433,TENT ONLY NONELECTRIC,50
232434,GROUP TENT ONLY AREA NONELECTRIC,3
232436,GROUP TENT ONLY AREA NONELECTRIC,4
232437,GROUP TENT ONLY AREA NONELECTRIC,1
232438,GROUP TENT ONLY AREA NONELECTRIC,3
232440,GROUP TENT ONLY AREA NONELECTRIC,4
232441,GROUP TENT ONLY AREA NONELECTRIC,3
232445,GROUP TENT ONLY AREA NONELECTRIC,6
232445,MANAGEMENT,2
232445,RV ELECTRIC,1
232445,STANDARD ELECTRIC,90
232445,TENT ONLY NONELECTRIC,66
232445,WALK TO,18
232446,MANAGEMENT,28
232446,RV NONELECTRIC,5
232446,STANDARD NONELECTRIC,45
232446,TENT ONLY NONELECTRIC,16
232446,WALK TO,5
232447,MANAGEMENT,2
232447,RV NONELECTRIC,28
232447,STANDARD NONELECTRIC,205
232447,TENT ONLY NONELECTRIC,4
232448,MANAGEMENT,11
232448,STANDARD NONELECTRIC,80
232448,TENT ONLY NONELECTRIC,62
232449,MANAGEMENT,37
232449,RV NONELECTRIC,8
232449,STANDARD NONELECTRIC,48
232450,MANAGEMENT,12
232450,RV NONELECTRIC,9
232450,STANDARD NONELECTRIC,54
232451,GROUP TENT ONLY AREA NONELECTRIC,4
232451,MANAGEMENT,6
232451,STANDARD NONELECTRIC,41
232451,WALK TO,57
232452,RV NONELECTRIC,1
232452,STANDARD NONELECTRIC,73
232452,TENT ONLY NONELECTRIC,88
232453,MANAGEMENT,3
232453,STANDARD NONELECTRIC,17
232453,TENT ONLY NONELECTRIC,8
232456,GROUP TENT ONLY AREA NONELECTRIC,6
232457,GROUP TENT ONLY AREA NONELECTRIC,4
232458,GROUP TENT ONLY AREA NONELECTRIC,5
232458,MANAGEMENT,1
232458,RV NONELECTRIC,7
232458,STANDARD ELECTRIC,90
232458,STANDARD NONELECTRIC,44
232458,TENT ONLY NONELECTRIC,24
232458,WALK TO,1
232459,GROUP STANDARD NONELECTRIC,2
232459,MANAGEMENT,55
232459,STANDARD NONELECTRIC,129
232459,WALK TO,35
232460,GROUP STANDARD AREA NONELECTRIC,4
232460,RV NONELECTRIC,25
232460,STANDARD NONELECTRIC,146
232460,TENT ONLY NONELECTRIC,4
232460,WALK TO,24
232461,RV NONELECTRIC,10
232461,STANDARD NONELECTRIC,87
232461,TENT ONLY NONELECTRIC,47
232461,WALK TO,47
232462,GROUP TENT ONLY AREA NONELECTRIC,13
232462,MANAGEMENT,8
232462,STANDARD NONELECTRIC,67
232462,TENT ONLY NONELECTRIC,71
232463,MANAGEMENT,16
232463,RV NONELECTRIC,1
232463,STANDARD NONELECTRIC,88
232463,TENT ONLY NONELECTRIC,78
232463,WALK TO,70
232464,GROUP STANDARD NONELECTRIC,1
232464,STANDARD NONELECTRIC,146
232465,MANAGEMENT,49
232465,RV NONELECTRIC,1
232465,STANDARD NONELECTRIC,84
232465,TENT ONLY NONELECTRIC,31
232466,MANAGEMENT,5
232466,RV NONELECTRIC,38
232466,STANDARD NONELECTRIC,80
232467,RV ELECTRIC,2
232467,RV NONELECTRIC,1
232467,STANDARD NONELECTRIC,71
232467,TENT ONLY NONELECTRIC,37
232468,EQUESTRIAN ELECTRIC,4
232468,GROUP STANDARD ELECTRIC,3
232469,CABIN NONELECTRIC,1
232470,GROUP TENT ONLY AREA NONELECTRIC,6
232471,GROUP TENT ONLY AREA NONELECTRIC,3
232472,MANAGEMENT,18
