FacilityID,CampsiteType,CampsiteID
231884,STANDARD NONELECTRIC,29
231885,GROUP STANDARD NONELECTRIC,1
231886,RV NONELECTRIC,15
231887,GROUP STANDARD AREA NONELECTRIC,1
231888,GROUP STANDARD AREA NONELECTRIC,1
231889,GROUP STANDARD AREA NONELECTRIC,1
231890,GROUP STANDARD NONELECTRIC,1
231891,GROUP STANDARD NONELECTRIC,2
231891,MANAGEMENT,12
231891,RV NONELECTRIC,5
231891,SHELTER NONELECTRIC,1
231891,STANDARD ELECTRIC,1
231891,STANDARD NONELECTRIC,1
231891,TENT ONLY NONELECTRIC,2
231892,GROUP STANDARD AREA NONELECTRIC,1
231893,GROUP STANDARD NONELECTRIC,2
231894,STANDARD NONELECTRIC,30
231894,WALK TO,6
231896,GROUP STANDARD NONELECTRIC,1
231896,MANAGEMENT,3
231896,STANDARD NONELECTRIC,38
231896,TENT ONLY NONELECTRIC,2
231897,GROUP STANDARD NONELECTRIC,4
231897,STANDARD NONELECTRIC,42
231897,TENT ONLY NONELECTRIC,4
231898,STANDARD ELECTRIC,7
231898,STANDARD NONELECTRIC,51
231899,STANDARD NONELECTRIC,23
231900,RV NONELECTRIC,1
231900,STANDARD NONELECTRIC,17
231901,GROUP STANDARD NONELECTRIC,4
231901,STANDARD NONELECTRIC,22
231902,GROUP STANDARD NONELECTRIC,1
231903,STANDARD NONELECTRIC,60
231904,MANAGEMENT,1
231904,STANDARD NONELECTRIC,36
231905,GROUP STANDARD NONELECTRIC,3
231906,TENT ONLY NONELECTRIC,18
231907,CABIN ELECTRIC,4
231907,GROUP STANDARD NONELECTRIC,1
231907,STANDARD ELECTRIC,89
231907,STANDARD NONELECTRIC,45
231908,GROUP STANDARD AREA NONELECTRIC,1
231908,STANDARD NONELECTRIC,68
231909,GROUP STANDARD NONELECTRIC,2
231910,GROUP STANDARD NONELECTRIC,2
231910,STANDARD NONELECTRIC,15
231911,GROUP STANDARD NONELECTRIC,2
231911,STANDARD NONELECTRIC,12
231912,GROUP STANDARD NONELECTRIC,1
231912,STANDARD NONELECTRIC,48
231913,GROUP STANDARD NONELECTRIC,1
231913,MANAGEMENT,15
231914,GROUP RV AREA NONELECTRIC,1
231914,GROUP TENT ONLY AREA NONELECTRIC,1
231915,GROUP STANDARD AREA NONELECTRIC,1
231915,GROUP STANDARD NONELECTRIC,3
231915,STANDARD NONELECTRIC,28
231916,GROUP STANDARD NONELECTRIC,1
231916,MANAGEMENT,1
231916,STANDARD NONELECTRIC,19
231917,GROUP STANDARD NONELECTRIC,2
231917,STANDARD NONELECTRIC,31
231918,GROUP STANDARD NONELECTRIC,11
231918,STANDARD NONELECTRIC,31
231919,GROUP STANDARD NONELECTRIC,2
231919,MANAGEMENT,2
231919,STANDARD NONELECTRIC,27
231920,GROUP STANDARD NONELECTRIC,1
231920,STANDARD NONELECTRIC,11
231921,GROUP RV AREA NONELECTRIC,3
231921,GROUP STANDARD NONELECTRIC,6
231921,STANDARD NONELECTRIC,57
231921,TENT ONLY NONELECTRIC,1
231923,GROUP STANDARD NONELECTRIC,1
231923,STANDARD NONELECTRIC,12
231924,GROUP STANDARD NONELECTRIC,5
231924,MANAGEMENT,5
231924,STANDARD NONELECTRIC,4
231925,MANAGEMENT,24
231925,STANDARD ELECTRIC,6
231925,STANDARD NONELECTRIC,10
231926,STANDARD NONELECTRIC,16
231927,GROUP STANDARD NONELECTRIC,3
231927,STANDARD NONELECTRIC,4
231928,MANAGEMENT,14
231928,STANDARD NONELECTRIC,12
231929,EQUESTRIAN NONELECTRIC,31
231929,GROUP STANDARD NONELECTRIC,4
231929,MANAGEMENT,79
231929,RV NONELECTRIC,1
231929,STANDARD NONELECTRIC,36
231929,YURT,6
231930,GROUP SHELTER NONELECTRIC,2
231930,MANAGEMENT,2
231930,STANDARD NONELECTRIC,20
231930,YURT,6
231931,GROUP SHELTER NONELECTRIC,1
231931,MANAGEMENT,4
231931,RV NONELECTRIC,18
231931,STANDARD NONELECTRIC,144
231932,GROUP SHELTER NONELECTRIC,1
231932,GROUP STANDARD NONELECTRIC,6
231932,MANAGEMENT,13
231932,RV ELECTRIC,2
231932,STANDARD ELECTRIC,21
231932,STANDARD NONELECTRIC,244
231933,GROUP STANDARD NONELECTRIC,2
231933,STANDARD NONELECTRIC,3
231934,GROUP STANDARD NONELECTRIC,1
231935,GROUP STANDARD NONELECTRIC,1
231935,MANAGEMENT,1
231935,RV NONELECTRIC,5
231935,STANDARD NONELECTRIC,19
231935,TENT ONLY NONELECTRIC,8
231935,YURT,3
231936,MANAGEMENT,12
231936,RV NONELECTRIC,5
231936,STANDARD NONELECTRIC,22
231937,GROUP STANDARD NONELECTRIC,1
231938,EQUESTRIAN NONELECTRIC,7
231938,GROUP STANDARD NONELECTRIC,1
231938,STANDARD NONELECTRIC,18
231938,YURT,4
231939,MANAGEMENT,3
231939,STANDARD NONELECTRIC,64
231939,TENT ONLY NONELECTRIC,6
231940,MANAGEMENT,1
231940,RV NONELECTRIC,9
231940,STANDARD NONELECTRIC,25
231941,MANAGEMENT,1
231941,RV NONELECTRIC,1
231941,STANDARD NONELECTRIC,30
231941,TENT ONLY NONELECTRIC,1
231942,GROUP STANDARD NONELECTRIC,3
231943,MANAGEMENT,1
231943,STANDARD NONELECTRIC,33
231944,MANAGEMENT,1
231944,RV NONELECTRIC,3
231944,STANDARD NONELECTRIC,23
231944,TENT ONLY NONELECTRIC,7
231945,MANAGEMENT,2
231945,RV NONELECTRIC,5
231945,STANDARD NONELECTRIC,52
231946,GROUP STANDARD NONELECTRIC,2
231946,MANAGEMENT,47
231946,STANDARD NONELECTRIC,43
231947,GROUP TENT ONLY AREA NONELECTRIC,3
231948,EQUESTRIAN NONELECTRIC,13
231948,MANAGEMENT,20
231949,GROUP PICNIC AREA,1
231950,GROUP STANDARD NONELECTRIC,1
231950,GROUP TENT ONLY AREA NONELECTRIC,4
231951,GROUP TENT ONLY AREA NONELECTRIC,3
231952,GROUP RV AREA NONELECTRIC,1
231953,GROUP STANDARD NONELECTRIC,2
231954,STANDARD NONELECTRIC,36
231954,TENT ONLY NONELECTRIC,19
231954,WALK TO,9
231955,GROUP STANDARD NONELECTRIC,1
231956,GROUP STANDARD NONELECTRIC,3
231957,GROUP STANDARD NONELECTRIC,4
231958,GROUP STANDARD NONELECTRIC,1
231958,MANAGEMENT,1
231958,STANDARD NONELECTRIC,21
231958,TENT ONLY NONELECTRIC,14
231958,WALK TO,3
231959,GROUP STANDARD NONELECTRIC,3
231959,STANDARD NONELECTRIC,37
231960,GROUP EQUESTRIAN,1
231960,GROUP STANDARD NONELECTRIC,4
231961,STANDARD NONELECTRIC,3
231961,TENT ONLY NONELECTRIC,3
231961,WALK TO,2
231962,GROUP STANDARD NONELECTRIC,2
231962,MANAGEMENT,7
231962,STANDARD ELECTRIC,1
231962,STANDARD NONELECTRIC,63
231963,GROUP TENT ONLY AREA NONELECTRIC,1
231963,MANAGEMENT,14
231963,STANDARD NONELECTRIC,7
231963,TENT ONLY NONELECTRIC,3
231964,GROUP EQUESTRIAN,1
231965,GROUP STANDARD NONELECTRIC,1
231966,GROUP TENT ONLY AREA NONELECTRIC,1
231967,GROUP STANDARD NONELECTRIC,1
231968,GROUP STANDARD NONELECTRIC,1
231969,MANAGEMENT,7
231969,STANDARD NONELECTRIC,15
