FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName, ALL TERRAIN/OHV, DIFFICULT HIKING, HORSE,ACCESSIBLE SWIMMING,AMPHITHEATER,ANTIQUING,ARCHERY,AUTO TOURING,BACKPACKING,BADMINTON,BEACH CAMPING,BEACHCOMBING,BERRY PICKING,BIKING,BIRD WATCHING,BIRDING,BOAT RENTAL,BOATING,CAMPING,CANOEING,CAVING,CLAM DIGGING,CLIMBING,CRABBING,CRAWFISHING,CROSS COUNTRY SKIING,CULTURAL ACTIVITIES,DAY USE AREA,DISC GOLF,DIVING,DOWNHILL SKIING,EDUCATIONAL PROGRAMS,EMERGENCY SERVICES,ENVIRONMENTAL EDUCATION,EVENING PROGRAMS,FIRE LOOKOUTS/CABINS OVERNIGHT,FISH HATCHERY,FISH VIEWING SITE,FISHING,GOLD PANNING,GOLF,GONDOLA RIDES,GUIDED INTERPRETIVE WALKS,HIKING,HIKING TRAIL,HISTORIC & CULTURAL SITE,HISTORIC SITES,HORSE CAMPING,HORSEBACK RIDING,HOTEL/LODGE/RESORT FS OWNED,HOTEL/LODGE/RESORT PRIVATELY OWNED,HUNTING,ICE CLIMBING,ICE FISHING,ICE SKATING,INFORMATION SITE,INTERPRETIVE PROGRAMS,JET SKIING,KAYAKING,LOOKOUT TOWER,MARINA,MOTEL,MOTOR BOAT,MOUNTAIN BIKING,MOUNTAIN CLIMBING,MUSEUM,MUSHROOM PICKING,NON-MOTORIZED BOATING,OBSERVATION SITE,OFF HIGHWAY VEHICLE,OFF HIGHWAY VEHICLE TRAILS,OFF ROAD VEHICLE TRAILS,ORGANIZATION SITE FS OWNED,OTHER RECREATION CONCESSION SITE,PADDLE BOATING,PADDLING,PHOTOGRAPHY,PICNIC TABLES,PICNICKING,PLAYGROUND PARK SPECIALIZED SPORT SITE,RAFTING,RANGER STATION,RECREATION PROGRAMS,RECREATIONAL SHOOTING,RECREATIONAL VEHICLES,RIVER TRIPS,ROCK CLIMBING,SAILBOARDING,SAILING,SCENIC DRIVE,SCUBA DIVING,SEA KAYAKING,SHUFFLE BOARD,SKIING,SLEDDING,SNORKELING,SNOW TUBING,SNOWBOARDING,SNOWMOBILE,SNOWMOBILE TRAILS,SNOWMOBILING,SNOWSHOEING,SOCCER FIELDS,SOFTBALL FIELDS,STAR GAZING,STARGAZING,SURFING,SWIMMING,SWIMMING SITE,TRAILS,TUBING,VISITOR CENTER,WATER ACCESS,WATER ACTIVITIES,WATER SKIING,WATER SPORTS,WHALE WATCHING,WHITEWATER RAFTING,WILD HORSE VIEWING,WILDERNESS,WILDLIFE VIEWING,WINDSURFING,WINERY TOURS,WINTER SPORTS,WOOD CUTTING
10004659,128,2607.0,Beach View House,-69.94838100000001,41.847716,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004661,128,2607.0,Le Count Beach  House,-69.978429,41.922855,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004663,128,2607.0,Ocean View House,-69.97720100000001,41.926892,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004665,128,2607.0,Seashore Modern House,-69.993971,41.958068,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004667,128,2607.0,Sunrise House,-69.977154,41.925892,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004919,131,1045.0,Lake Powhatan Glamping,0.0,0.0,12,"BOATING,CAMPING,FISHING,BIKING,HIKING,PICNICKING,DAY USE AREA,PHOTOGRAPHY,WATER ACCESS,MOUNTAIN BIKING,SWIMMING,KAYAKING,CANOEING,STAR GAZING,WILDERNESS,SWIMMING SITE,ANTIQUING,SCENIC DRIVE,RAFTING,WHITEWATER RAFTING,MUSHROOM PICKING,TUBING,ACCESSIBLE SWIMMING",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
10004932,128,2845.0,Gorge Lake Campground,-121.151532,48.715713,8,"BOATING,FISHING,WATER ACCESS,KAYAKING,CANOEING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10005253,131,1076.0,(Lake Alpine) West Shore,0.0,0.0,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005349,126,10008685.0,Log Gulch Campground,0.0,0.0,46,"BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,PHOTOGRAPHY,BIRDING,WATER ACCESS,MOUNTAIN BIKING,WATER SPORTS,HISTORIC & CULTURAL SITE,SWIMMING,KAYAKING,CANOEING,SWIMMING SITE,SCENIC DRIVE,RAFTING,INFORMATION SITE,PADDLING,PADDLE BOATING,JET SKIING,WATER SKIING,ICE FISHING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
10005351,131,1069.0,Blue Lake Campground,0.0,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
