facilityid,#tenting,#group,#remote,#structured_RV,tenting,group,remote,structured_RV,totalbeforetax,numberofpeople,reservation_days,days_stay,FacilityName,FacilityLongitude,FacilityLatitude,tenting_demand,group_demand,remote_demand,structured_RV_demand,Year
231984,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,89.0,13.5,115.0,2.5,HORSE CREEK GROUP CAMPGROUND,-122.153333,44.162222,,14.0,,,2016
231985,18.0,0.0,0.0,1.0,366.0,0.0,0.0,0.0,42.02,4.0,41.0,2.0,MCKENZIE BRIDGE,-122.175,44.175,20.333333333333332,,,0.0,2016
231986,59.0,0.0,0.0,1.0,1223.0,0.0,0.0,0.0,49.36,3.0,85.0,2.0,PARADISE IN OREGON,-122.09611100000001,44.186111,20.728813559322035,,,0.0,2016
231987,38.0,1.0,0.0,0.0,373.0,10.0,0.0,0.0,57.0,5.0,139.0,3.0,EAST SULLIVAN,-117.28277800000001,48.861389,9.81578947368421,10.0,,,2016
231988,18.0,1.0,0.0,0.0,205.0,10.0,0.0,0.0,41.0,4.0,49.0,3.0,NOISY CREEK,-117.27861100000001,48.783889,11.38888888888889,10.0,,,2016
231989,6.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,41.0,4.0,56.0,3.0,WEST SULLIVAN,-117.28833300000001,48.861389,22.166666666666668,,,,2016
232018,27.0,0.0,0.0,1.0,473.0,0.0,0.0,0.0,41.0,4.0,66.0,2.0,Beckler River Campground,-121.332222,47.735833,17.51851851851852,,,0.0,2016
232020,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,84.0,20.0,138.0,2.0,BLACK MOUNTAIN (SAN BERNARDINO),-116.73888899999999,33.834167,,36.0,,,2016
232021,0.0,4.0,0.0,0.0,0.0,21.0,0.0,0.0,195.0,45.0,25.0,2.0,BLACK OAK,-120.5875,38.904167,,5.25,,,2016
232022,16.0,0.0,0.0,19.0,451.0,0.0,0.0,0.0,29.0,4.0,30.0,2.0,BOULDER BASIN,-116.75388899999999,33.826389,28.1875,,,0.0,2016
232023,8.0,1.0,0.0,5.0,141.0,22.0,0.0,0.0,37.0,4.0,59.0,2.0,Boulder Creek Campground,-121.693611,48.714166999999996,17.625,22.0,,0.0,2016
232030,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,169.0,16.5,26.0,2.0,COON CREEK GROUP CAMPGROUND,-116.70944399999999,34.148889000000004,,22.0,,,2016
232031,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,219.0,50.0,95.5,2.0,COUNCIL,-116.881667,34.171389000000005,,30.0,,,2016
232032,0.0,4.0,0.0,0.0,0.0,61.0,0.0,0.0,255.0,24.0,111.0,3.0,COYOTE GROUP,-120.410556,39.135556,,15.25,,,2016
232033,41.0,0.0,0.0,2.0,544.0,0.0,0.0,0.0,49.0,4.0,50.0,2.0,The Dalles Campground,-121.583056,47.078333,13.268292682926829,,,0.0,2016
232035,23.0,1.0,0.0,10.0,591.0,27.0,0.0,301.0,49.0,4.0,60.0,2.0,Denny Creek Campground,-121.442778,47.411944,25.695652173913043,27.0,,30.1,2016
232037,68.0,0.0,0.0,19.0,3120.0,0.0,0.0,1003.0,62.0,5.0,40.0,2.0,DOGWOOD                                      ,-117.209167,34.235278,45.88235294117647,,,52.78947368421053,2016
232038,25.0,0.0,0.0,0.0,647.0,0.0,0.0,0.0,45.0,2.0,62.0,2.0,Douglas Fir Campground,-121.918056,48.902221999999995,25.88,,,,2016
232043,0.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,259.0,25.0,155.0,2.0,Excelsior Group Camp,-121.817778,48.906389000000004,,18.5,,,2016
232045,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,273.0,30.0,190.0,2.0,FORBES CREEK,-120.781944,39.131111,,12.5,,,2016
232047,68.0,0.0,0.0,1.0,646.0,0.0,0.0,0.0,57.0,4.0,27.0,2.0,FRENCH MEADOWS,-120.42388899999999,39.113889,9.5,,,0.0,2016
232048,0.0,3.0,0.0,0.0,0.0,40.0,0.0,0.0,255.0,25.0,102.5,3.0,GATES GROUP,-120.409167,39.141389000000004,,13.333333333333334,,,2016
232049,50.0,0.0,0.0,0.0,898.0,0.0,0.0,0.0,59.0,4.0,92.5,3.0,GERLE CREEK,-120.391667,38.975,17.96,,,,2016
232052,31.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,47.0,4.0,31.0,2.0,GRAYS MEADOWS,-118.295,36.768889,28.06451612903226,,,,2016
232053,0.0,2.0,0.0,0.0,0.0,53.0,0.0,0.0,84.0,16.0,101.0,3.0,GREEN CREEK GROUP,-119.27611100000001,38.110833,,26.5,,,2016
232054,26.0,0.0,0.0,0.0,1043.0,0.0,0.0,0.0,55.0,5.0,39.0,2.0,GREEN VALLEY,-117.061944,34.244721999999996,40.11538461538461,,,,2016
232057,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,790.0,30.0,109.0,3.0,HEART BAR EQUESTRIAN,-116.78583300000001,34.158611,,9.0,,,2016
232058,28.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,45.0,3.0,88.0,3.0,HONEYMOON FLAT,-119.32,38.201389,13.75,,,,2016
232059,37.0,3.0,0.0,1.0,747.0,51.0,0.0,0.0,45.0,4.0,78.0,2.0,Horseshoe Cove Campground,-121.67638899999999,48.671944,20.18918918918919,17.0,,0.0,2016
232061,82.0,0.0,0.0,0.0,1681.0,0.0,0.0,0.0,59.0,5.0,121.0,3.0,ICE HOUSE,-120.35888899999999,38.823333,20.5,,,,2016
232064,144.0,1.0,0.0,3.0,1529.0,8.0,0.0,0.0,51.0,4.0,112.0,2.0,KACHESS,-121.243425,47.354836,10.618055555555555,8.0,,0.0,2016
232068,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,609.0,75.0,157.0,2.0,LOBO GROUP,-116.8625,34.175556,,35.0,,,2016
232069,24.0,1.0,3.0,0.0,1279.0,53.0,217.0,0.0,29.0,3.0,45.0,1.0,LONE PINE,-118.18480600000001,36.597611,53.291666666666664,53.0,72.33333333333333,,2016
232070,59.0,3.0,0.0,3.0,975.0,35.0,0.0,24.0,59.0,4.0,97.5,3.0,LOON LAKE,-120.33,38.983333,16.52542372881356,11.666666666666666,,8.0,2016
232072,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,209.0,32.5,161.5,2.0,Miller River Group Camp,-121.3925,47.691111,,18.0,,,2016
232074,23.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,45.0,4.0,52.0,2.0,Money Creek Campground,-121.395556,47.721111,18.043478260869566,,,,2016
232077,10.0,0.0,7.0,14.0,741.0,0.0,469.0,0.0,28.0,3.0,64.0,1.0,ONION VALLEY,-118.345556,36.774722,74.1,,67.0,0.0,2016
232079,20.0,0.0,0.0,1.0,475.0,0.0,0.0,15.0,55.0,4.0,133.0,4.0,PAHA,-119.325,38.179167,23.75,,,15.0,2016
232081,14.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,41.0,3.0,124.0,2.0,Panorama Point Campground,-121.67222199999999,48.72277800000001,25.785714285714285,,,,2016
232082,9.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,33.0,4.0,38.5,2.0,Park Creek Campground,-121.67222199999999,48.72277800000001,13.333333333333334,,,,2016
